Sample in Buffer,Sample in Window,TRIGGER,inst_shell/inst_dynamic/inst_user_wrapper_0/inst_user_c0_0/axis_host_recv[0]\\.tvalid,inst_shell/inst_dynamic/inst_user_wrapper_0/inst_user_c0_0/axis_host_recv[0]\\.tready,inst_shell/inst_dynamic/inst_user_wrapper_0/inst_user_c0_0/axis_host_recv[0]\\.tlast,inst_shell/inst_dynamic/inst_user_wrapper_0/inst_user_c0_0/axis_host_recv[0]\\.tdata[511:0],inst_shell/inst_dynamic/inst_user_wrapper_0/inst_user_c0_0/axis_host_send[0]\\.tvalid,inst_shell/inst_dynamic/inst_user_wrapper_0/inst_user_c0_0/axis_host_send[0]\\.tready,inst_shell/inst_dynamic/inst_user_wrapper_0/inst_user_c0_0/axis_host_send[0]\\.tlast,inst_shell/inst_dynamic/inst_user_wrapper_0/inst_user_c0_0/axis_host_send[0]\\.tdata[511:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
0,0,0,0,1,1,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000087ea8000,0,1,0,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102c1da7ffffffc0000000000000000
1,1,0,0,1,1,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000087ea8000,0,1,0,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102c1da7ffffffc0000000000000000
2,2,0,0,1,1,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000087ea8000,0,1,0,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102c1da7ffffffc0000000000000000
3,3,0,0,1,1,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000087ea8000,0,1,0,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102c1da7ffffffc0000000000000000
4,4,0,0,1,1,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000087ea8000,0,1,0,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102c1da7ffffffc0000000000000000
5,5,0,0,1,1,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000087ea8000,0,1,0,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102c1da7ffffffc0000000000000000
6,6,0,0,1,1,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000087ea8000,0,1,0,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102c1da7ffffffc0000000000000000
7,7,0,0,1,1,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000087ea8000,0,1,0,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102c1da7ffffffc0000000000000000
8,8,0,0,1,1,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000087ea8000,0,1,0,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102c1da7ffffffc0000000000000000
9,9,0,0,1,1,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000087ea8000,0,1,0,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102c1da7ffffffc0000000000000000
